,0,1
0,疫情,264740
1,武汉,229667
2,肺炎,224960
3,展开,216745
4,全文,216276
5,新型,184562
6,冠状病毒,137011
7,我们,129709
8,加油,123246
9,##,117351
10,口罩,115913
11,感染,112794
12,医院,107979
13,确诊,106765
14,中国,101060
15,病例,100246
16,病毒,99095
17,患者,94574
18,没有,90569
19,防控,89573
20,自己,81245
21,一个,81225
22,微博,75482
23,视频,73078
24,可以,69695
25,这个,69277
26,新冠,64804
27,工作,64773
28,链接,64081
29,一起,60989
30,网页,60956
31,大家,60679
32,湖北,58731
33,真的,57658
34,医生,57655
35,就是,57163
36,隔离,53838
37,希望,53808
38,2020,53516
39,今天,53186
40,现在,52990
41,什么,51651
42,致敬,47289
43,不是,45965
44,国家,45122
45,行动,43875
46,他们,43840
47,全国,43834
48,一线,43686
49,医护人员,41863
50,传播,41395
51,抗击,41356
52,已经,40921
53,知道,40756
54,目前,40159
55,健康,39732
56,还是,39698
57,治疗,39506
58,不要,39353
59,一定,38931
60,你们,38291
61,新闻,37718
62,可能,37471
63,新增,36491
64,出院,36226
65,出现,35285
66,开始,35270
67,时间,35003
68,时候,34960
69,治愈,34513
70,发现,34274
71,10,32768
72,发热,32573
73,需要,32501
74,不能,31915
75,因为,31526
76,消毒,31137
77,症状,30857
78,如果,30769
79,生活,30721
80,专家,30692
81,情况,30640
82,人员,30622
83,物资,30296
84,人民,29304
85,防护,29147
86,看到,29125
87,平安,28737
88,还有,28017
89,打卡,27869
90,所有,27319
91,发布,27285
92,医用,27187
93,上班,26967
94,这样,26857
95,社区,26594
96,酒精,26468
97,问题,26358
98,起来,26304
99,检测,26220
100,但是,26190
101,怎么,26162
102,卫健委,26140
103,转发,25977
104,u3000,25957
105,医疗,25712
106,预防,25707
107,进行,25616
108,很多,24922
109,病人,24859
110,钟南山,24841
111,这些,24796
112,不会,24700
113,每天,24108
114,北京,23769
115,咳嗽,23573
116,一下,23506
117,一直,23354
118,在家,23322
119,努力,23096
120,疫苗,22803
121,防疫,22529
122,应该,22464
123,捐赠,22375
124,哈哈哈,22299
125,疾病,22297
126,这么,22207
127,重症,21955
128,出门,21920
129,觉得,21904
130,感谢,21722
131,关注,21536
132,期间,21509
133,24,21473
134,做好,21441
135,武汉市,21416
136,通过,21110
137,所以,21024
138,12,20965
139,复工,20959
140,20,20926
141,抗疫,20810
142,这种,20650
143,上海,20448
144,接触,20314
145,如何,20212
146,2019,20115
147,30,19913
148,企业,19894
149,发烧,19846
150,表示,19596
151,组织,19478
152,研究,19346
153,保护,19180
154,为了,18975
155,院士,18937
156,最新,18833
157,那么,18774
158,关于,18749
159,14,18628
160,今日,18526
161,出来,18481
162,志愿者,18434
163,医疗队,18410
164,为什么,18400
165,累计,18328
166,居家,18275
167,战疫,18228
168,孩子,18178
169,肖战,17938
170,市场,17860
171,感觉,17776
172,有效,17642
173,辛苦,17581
174,非常,17574
175,安全,17433
176,死亡,17307
177,野味,17260
178,支援,17124
179,信息,16851
180,医务人员,16643
181,小时,16610
182,全球,16584
183,朋友,16568
184,这是,16549
185,一天,16512
186,前线,16465
187,注意,16458
188,世界,16443
189,护士,16340
190,传染病,16339
191,中医,16240
192,高速,16208
193,朱一龙,16167
194,措施,16158
195,家里,16153
196,发生,16151
197,日本,15921
198,公司,15851
199,小区,15782
200,活动,15741
201,第一,15730
202,记者,15675
203,回家,15635
204,15,15625
205,战斗,15525
206,事件,15519
207,湖北省,15516
208,传染,15510
209,开学,15491
210,公益,15465
211,直播,15341
212,然后,15336
213,11,15333
214,基层,15325
215,卫生,15299
216,地方,15275
217,要求,15215
218,17,15206
219,丁香,15147
220,公共卫生,15109
221,这次,15090
222,明天,15077
223,救治,14994
224,原因,14969
225,其中,14864
226,疑似,14717
227,空气,14703
228,来自,14669
229,建议,14605
230,感冒,14563
231,一些,14535
232,使用,14355
233,其他,14295
234,结果,14259
235,一样,14248
236,那些,14227
237,打赢,14184
238,祈福,14177
239,喜欢,14150
240,春节,14015
241,报告,14009
242,重要,13963
243,一次,13893
244,特别,13878
245,相关,13874
246,有人,13789
247,只有,13754
248,药物,13577
249,聚集,13555
250,方案,13555
251,奋战,13487
252,主要,13464
253,严重,13442
254,截至,13399
255,防护服,13370
256,驰援,13285
257,蝙蝠,13273
258,传人,13147
259,支持,13104
260,数据,13077
261,家人,12955
262,看看,12904
263,火神,12854
264,之前,12829
265,有点,12818
266,之后,12812
267,生命,12772
268,根据,12770
269,分享,12749
270,政府,12713
271,是否,12703
272,社会,12685
273,最后,12680
274,只是,12680
275,作为,12670
276,一切,12649
277,消息,12620
278,SARS,12607
279,影响,12597
280,美国,12560
281,在线,12536
282,了解,12505
283,几天,12492
284,继续,12467
285,地图,12460
286,正在,12451
287,密切接触,12443
288,相信,12398
289,虽然,12369
290,第一线,12365
291,通知,12322
292,控制,12288
293,老师,12279
294,下午,12208
295,非典,12105
296,其实,12100
297,潜伏期,12092
298,临床,12075
299,体温,12075
300,扩散,11969
301,18,11951
302,开展,11904
303,央视,11777
304,延迟,11765
305,16,11676
306,过去,11651
307,一点,11632
308,联防,11616
309,诊疗,11611
310,实时,11610
311,城市,11606
312,直接,11602
313,封闭,11591
314,接受,11581
315,主任,11564
316,医护,11557
317,结束,11555
318,核酸,11555
319,存在,11533
320,高考,11530
321,联控,11525
322,而且,11515
323,最近,11511
324,阻击战,11496
325,手机,11482
326,坚持,11474
327,发布会,11465
328,正常,11392
329,英雄,11343
330,宝宝,11334
331,回应,11285
332,地球,11277
333,回来,11240
334,每个,11224
335,网上,11221
336,妈妈,11185
337,或者,11122
338,容易,11121
339,身体,11120
340,中心,11120
341,爱心,11114
342,N95,11108
343,中医药,11091
344,同时,11056
345,晚上,11053
346,紧急,11035
347,流感,11003
348,...,10985
349,韩红,10981
350,13,10937
351,下降,10925
352,那个,10915
353,好好,10900
354,世卫,10837
355,身边,10820
356,双黄连,10791
357,可爱,10784
358,多少,10770
359,人群,10762
360,万众一心,10753
361,风险,10698
362,一种,10668
363,评论,10659
364,共同,10612
365,无症状,10612
366,服务,10581
367,这场,10542
368,春运,10514
369,面对,10514
370,抵抗力,10493
371,保障,10476
372,以及,10460
373,工作人员,10424
374,感染者,10414
375,通报,10402
376,查看,10396
377,学校,10368
378,李兰娟,10364
379,突发,10362
380,还要,10359
381,好消息,10319
382,及时,10274
383,一名,10262
384,力量,10254
385,分钟,10249
386,增强,10246
387,科学,10223
388,图片,10113
389,拐点,10064
390,人数,10059
391,导致,10028
392,集中,10024
393,公布,10013
394,白衣天使,9991
395,封城,9989
396,海鲜,9981
397,群众,9968
398,管理,9951
399,应急,9949
400,标准,9948
401,人类,9906
402,回复,9905
403,只能,9898
404,检查,9896
405,紧张,9885
406,进入,9883
407,普通,9878
408,事情,9866
409,东西,9858
410,全部,9840
411,两个,9820
412,不过,9785
413,交叉感染,9785
414,提醒,9750
415,别人,9739
416,是不是,9735
417,收治,9729
418,疑似病例,9727
419,以后,9719
420,野生动物,9712
421,家庭,9701
422,造成,9693
